product_id,current_price,competitor_price,demand_last_week,stock_level,marketing_spend,season,day_of_week,customer_rating,units_sold,optimal_price
3495,5507898.87,5739643.86,159,41,7361.23,winter,sunday,3.34,636,5154655.99
1920,1921907.65,2028271.32,186,556,3562.54,summer,thursday,3.43,295,1899768.7
7532,9698583.66,9479601.63,403,654,11308.25,winter,tuesday,2.65,379,8809025.25
4644,7771566.28,8068622.79,132,267,9676.64,monsoon,monday,2.76,416,7013197.89
5511,9400434.51,8945535.27,454,465,11714.82,monsoon,thursday,4.83,338,8667721.86
8014,8957739.04,9552573.52,173,599,10686.88,summer,wednesday,4.12,127,8115031.73
1628,6015188.79,6147299.47,354,736,7877.08,monsoon,sunday,4.03,231,5661499.88
6024,9225773.67,9733535.37,297,695,11666.66,summer,tuesday,4.47,249,8495636.03
5952,966960.7,962542.63,416,953,2442.28,summer,saturday,4.07,312,1276725.37
5100,2032190.17,1922089.88,220,547,3779.99,summer,monday,3.14,245,1979731.41
3720,538202.43,530584.83,256,94,5075.21,festival,friday,4.78,109,982714.94
5560,3314023.58,3235471.54,439,83,4794.78,monsoon,tuesday,3.12,266,3561276.13
7586,3941791.94,3809912.62,154,357,5843.87,winter,monday,4.55,535,3613517.4
6391,2779068.9,2619091.1,190,923,4678.27,monsoon,friday,3.2,309,2456489.28
7855,8302788.72,8733150.72,378,458,10180.14,winter,tuesday,3.14,643,7831581.11
7351,3625425.47,3325495.23,317,602,5239.76,winter,wednesday,3.95,286,3444128.98
9526,2874060.99,3096835.74,443,839,4935.05,winter,saturday,2.84,256,3053410.02
9778,5468118.18,5112717.54,307,844,7545.1,summer,wednesday,3.44,536,4930556.76
8416,1486559.07,1629231.18,123,84,3837.07,winter,wednesday,3.76,664,1598432.89
8835,8039772.08,8825206.43,191,386,10358.78,winter,saturday,4.73,578,7490118.27
1227,828796.88,811953.58,71,309,2992.81,winter,sunday,3.46,214,827316.51
4961,9870049.54,10833013.17,33,676,11572.97,monsoon,thursday,2.61,159,8750925.75
2916,7742945.66,8314481.15,66,563,9317.48,summer,tuesday,4.55,426,6913826.66
3293,2059272.4,1887294.44,399,304,4001.9,winter,tuesday,4.04,39,2346916.65
6111,144724.18,157672.03,92,170,4959.15,festival,friday,4.2,24,372287.16
9385,8171222.76,7423579.39,124,70,13614.37,festival,wednesday,2.72,392,7144861.88
5646,7094956.28,6643595.44,92,846,9495.88,summer,friday,2.94,575,5980742.79
3686,7314461.04,7438215.2,124,388,12071.27,festival,tuesday,3.87,205,6582487.18
8784,7733289.14,7084833.01,85,53,9838.19,summer,monday,3.0,22,6697931.78
1319,823782.5,768049.95,169,801,2524.73,monsoon,saturday,4.55,184,825566.31
5950,3642395.37,3972754.65,162,914,5690.93,monsoon,monday,2.56,306,3300507.8
6817,1238262.38,1360773.06,73,416,3564.57,monsoon,tuesday,4.54,225,1218244.78
4561,8643354.95,9158734.94,233,834,10515.11,monsoon,saturday,3.66,109,7831692.35
9190,6266884.44,6285947.54,13,301,8643.71,monsoon,wednesday,3.97,301,5470826.35
2296,3369199.43,3638938.17,176,132,5756.17,winter,friday,3.0,512,3315483.69
2327,719863.25,663987.29,139,850,2268.42,monsoon,saturday,3.47,6,652047.27
5997,3171834.81,3452790.78,416,233,5108.07,winter,saturday,3.94,613,3489867.43
1870,3312566.72,3214218.55,208,897,4841.93,monsoon,thursday,2.9,190,2959706.21
4424,7320397.23,7849646.42,93,709,9095.72,monsoon,saturday,3.48,10,6513948.2
1717,6408194.54,6623988.45,45,254,8032.39,winter,friday,4.19,655,5707289.38
4019,8882278.28,9699935.17,197,889,10640.33,monsoon,tuesday,4.76,660,8078838.56
9334,4769649.91,5117527.14,446,102,9392.62,festival,thursday,3.14,151,5000654.89
6197,1275178.98,1374106.81,26,461,6033.9,festival,friday,4.4,114,1192788.98
5955,7158255.84,7346882.12,95,899,8984.69,summer,sunday,2.82,503,6205075.7
6664,7629379.83,8137738.43,336,275,9385.59,winter,monday,2.97,232,7259164.29
1360,5652257.03,5942931.3,260,512,10537.98,festival,thursday,4.53,566,5376690.46
4687,7730284.75,7207134.84,113,545,9563.01,monsoon,sunday,4.66,335,6656442.21
3321,4983514.36,5131621.31,352,924,6782.71,winter,tuesday,3.86,559,4710159.94
5506,5270282.34,4899439.5,471,358,6960.01,winter,monday,2.92,630,5130387.29
7163,4326931.49,4646653.76,339,379,6138.24,summer,tuesday,2.96,110,4319882.05
9602,341903.55,312222.89,458,684,2317.27,winter,sunday,4.87,572,895672.87
9034,1159204.04,1272121.33,258,947,6422.92,festival,saturday,3.89,151,1296242.42
5808,401463.23,393484.28,325,116,5504.58,festival,monday,3.28,687,939718.76
1864,6396827.18,5975441.76,375,413,8305.17,monsoon,tuesday,3.97,458,5953465.03
6355,3205267.77,3484558.77,474,307,4844.46,winter,tuesday,3.19,365,3563631.8
6349,5129935.55,4663548.47,305,10,7180.1,summer,monday,4.35,445,4869730.59
1183,9083983.76,9029671.77,215,879,11075.74,winter,monday,2.93,579,7988628.7
2519,2560485.99,2698868.55,314,851,7978.02,festival,wednesday,3.18,367,2616898.16
1998,4156894.77,4004544.97,321,420,8941.14,festival,tuesday,4.3,495,4063272.71
9116,7577511.78,7621210.79,346,955,9655.72,monsoon,saturday,2.62,607,6883730.52
9061,2357389.82,2451880.14,275,596,7594.73,festival,tuesday,4.99,696,2479549.39
8817,852870.91,929966.42,387,664,2572.53,winter,sunday,3.33,530,1234556.88
2319,2961436.9,2726122.69,219,803,4704.42,summer,wednesday,4.24,375,2689593.4
4097,1687702.96,1572003.06,172,387,6428.83,festival,monday,2.71,635,1692370.0
8565,9303303.73,9319809.46,403,918,11059.27,summer,sunday,3.92,443,8486148.94
2158,8098472.96,7966427.3,308,645,13043.8,festival,wednesday,3.84,480,7385045.32
5308,6367031.23,6253438.5,29,345,8798.93,winter,tuesday,3.16,88,5513082.68
2148,8726174.45,8371824.58,217,283,10414.43,monsoon,friday,3.37,476,7775159.77
3134,8054390.28,8152146.09,410,319,10043.92,winter,tuesday,4.62,273,7637917.28
4171,1938909.28,2087541.54,48,215,3405.08,summer,friday,3.08,227,1812838.77
9155,8935259.68,8329313.87,59,569,11223.41,winter,saturday,4.22,207,7583738.14
4684,5434881.62,5125404.6,101,103,7210.66,monsoon,wednesday,3.62,565,4827966.17
4491,8091731.94,8368183.53,338,368,10501.09,monsoon,tuesday,3.77,218,7590423.98
5563,8970264.78,8174059.87,477,544,11270.2,monsoon,monday,3.42,446,8175616.59
1124,3241414.44,3354062.8,207,985,5669.33,summer,saturday,4.46,94,2978236.73
7505,1180614.57,1136803.42,470,409,6593.98,festival,wednesday,2.51,338,1721788.74
3499,2348837.46,2282061.86,210,664,4634.41,monsoon,wednesday,2.95,539,2220795.31
7467,4322638.19,4240983.01,185,413,6066.51,winter,monday,3.4,562,3962343.56
6952,8196526.33,7949954.43,426,613,10037.12,monsoon,tuesday,3.02,481,7559132.61
2788,8619840.08,9208074.55,300,419,10216.4,summer,saturday,3.86,121,8058080.41
3161,158895.61,173071.27,159,147,2000.0,summer,friday,4.23,641,448313.97
3723,5151505.77,5200972.05,416,692,7206.5,monsoon,thursday,3.97,29,4997517.29
9611,4226543.04,4295755.64,55,867,8762.22,festival,thursday,3.73,174,3641758.66
9723,2291088.4,2094276.17,98,708,6935.38,festival,tuesday,4.23,539,2011612.17
4941,1277865.79,1332351.92,237,543,6410.74,festival,friday,4.72,465,1485692.86
6441,3435766.35,3493555.17,384,989,5077.76,winter,thursday,4.22,634,3377604.44
2403,9434235.17,8585898.41,272,297,13949.93,festival,sunday,4.17,281,8376147.82
7864,3292941.06,3094327.76,24,90,4913.35,monsoon,friday,4.81,332,2918316.16
8066,5231215.06,4919375.45,358,983,6759.18,winter,friday,4.9,554,4794468.62
7202,7056917.88,6592527.45,465,243,9510.63,summer,tuesday,3.02,675,6686722.52
8326,3693569.36,3810763.33,174,84,5456.77,summer,monday,3.32,271,3558743.7
4128,9720360.44,10553277.94,467,576,11363.25,summer,tuesday,2.53,261,9260930.37
4450,9627852.69,10134230.23,83,79,14258.07,festival,wednesday,3.39,547,8718059.1
8254,2585162.55,2573463.91,325,141,4761.09,winter,wednesday,4.31,555,2796694.93
5510,5017732.69,4921443.7,443,573,6769.86,winter,tuesday,4.94,681,4929133.99
4910,3071704.05,3001950.63,118,73,5301.45,winter,thursday,2.53,105,2875244.17
6892,2912769.3,2971751.11,278,603,5113.63,summer,friday,2.79,234,2862152.9
8642,455549.65,442723.25,156,931,5415.97,festival,friday,3.81,674,495508.83
2465,6130782.55,5794965.22,314,722,8268.25,winter,friday,2.77,487,5544243.72
3074,5071549.12,5175863.69,288,331,10261.98,festival,saturday,2.63,355,4881340.82
6374,600154.42,587035.69,64,977,2185.43,monsoon,wednesday,3.61,646,414077.09
7887,2851386.46,2574302.88,408,757,5262.89,monsoon,wednesday,4.3,186,2890396.77
3194,9090914.93,8222243.67,474,846,10594.82,monsoon,monday,3.34,497,8149598.61
3803,2464058.34,2352750.23,19,402,7254.34,festival,thursday,3.01,155,2137972.26
5876,1525908.18,1529699.21,193,359,3866.59,winter,wednesday,3.36,354,1605158.11
9259,4940476.85,4796451.58,125,81,6491.11,monsoon,wednesday,2.83,418,4473364.39
8375,9857796.0,8919442.56,369,698,11718.07,monsoon,saturday,3.39,218,8685291.62
6097,2488767.74,2350965.55,328,987,4901.6,summer,sunday,3.73,362,2418135.92
6062,6750863.27,6205959.66,194,956,11277.65,festival,tuesday,2.68,443,5801727.45
5061,7637650.39,8322949.27,55,528,9331.53,summer,wednesday,3.87,182,6839065.45
4113,2444988.06,2353464.37,426,946,3982.95,winter,saturday,3.77,545,2541126.99
4186,7306624.01,6597540.07,65,956,9632.47,monsoon,friday,3.53,406,6023692.28
9072,3734730.85,3854662.96,118,84,8989.73,festival,tuesday,4.05,447,3578146.81
1048,6356150.78,6016030.53,283,603,8189.51,monsoon,wednesday,4.83,38,5763734.74
7166,6368279.43,6453278.45,77,655,8334.69,winter,tuesday,3.31,140,5548757.57
8452,5399527.12,5022365.24,324,793,10118.55,festival,monday,2.83,653,4932927.74
6681,984771.62,1080100.12,141,594,3110.97,summer,wednesday,4.35,625,1032618.98
7975,8367847.73,9154859.18,152,256,9956.91,winter,tuesday,3.13,673,7711927.66
7129,3268930.44,3370910.19,168,412,4834.12,winter,tuesday,4.31,359,3096296.6
4024,1938398.44,2018726.69,267,405,6976.91,festival,friday,3.19,469,2119190.8
9003,494081.65,486757.27,213,671,2756.27,winter,saturday,2.79,91,633116.14
1260,5945749.07,6495349.55,71,875,8079.99,winter,thursday,5.0,134,5283966.7
7978,6804662.83,6700877.6,170,593,8676.85,winter,sunday,3.83,389,6036680.59
7318,254385.38,241130.27,439,227,5299.49,festival,friday,4.36,16,969343.39
1531,5164842.21,4767540.45,261,262,6632.57,winter,monday,3.48,458,4752913.9
9870,2334573.13,2198292.56,443,316,4659.95,monsoon,wednesday,4.77,691,2678502.24
8567,6483662.35,6577303.95,157,435,8603.39,summer,friday,4.57,99,5864656.33
2481,1817971.31,1725288.12,459,839,3418.47,summer,friday,4.58,207,2097147.71
4260,6937192.98,7151204.59,496,107,8961.1,winter,sunday,4.5,74,6897134.02
6805,3922547.28,3830119.92,330,652,8620.43,festival,saturday,3.96,402,3814343.43
6908,9372994.19,10098225.69,262,965,14776.83,festival,wednesday,3.7,179,8583766.96
2632,1452832.56,1469824.33,349,13,6002.65,festival,saturday,4.13,484,1932244.96
3791,3469967.54,3555053.96,33,935,8701.42,festival,thursday,3.19,572,2938319.64
1102,1214522.6,1228261.23,151,576,3608.14,monsoon,saturday,3.85,381,1221287.9
2059,9253713.76,9967302.37,58,787,10865.98,monsoon,sunday,4.2,112,8177622.98
6343,8784432.99,8017410.68,110,368,13943.67,festival,wednesday,2.73,260,7555016.4
1545,2646201.53,2417225.03,434,210,4291.69,winter,saturday,4.39,99,2920753.7
5656,6630441.9,6897967.29,166,319,11545.79,festival,thursday,3.68,268,6116220.08
8979,8188672.0,8627525.7,158,598,10356.86,winter,friday,4.88,283,7402580.21
4512,5592040.04,5517765.91,297,134,7190.77,winter,thursday,4.87,538,5341513.34
1913,5338837.23,5181133.54,196,150,9924.56,festival,sunday,4.61,138,4980768.94
1868,2486756.2,2376316.9,137,88,7258.61,festival,friday,3.56,627,2439790.13
4554,1012648.43,958855.51,62,112,5905.25,festival,thursday,4.3,548,1078592.04
3300,8981408.16,9721401.81,495,806,11002.64,summer,monday,3.06,424,8583134.63
5866,9013142.95,8643855.64,96,262,10751.66,winter,monday,3.22,558,7841460.21
7778,6364035.44,6552511.18,230,96,8175.2,summer,tuesday,3.94,118,5983600.85
8844,3449785.23,3647868.3,215,75,5044.45,winter,saturday,4.35,31,3454409.12
4446,3550666.88,3211199.39,72,529,5511.42,monsoon,monday,3.59,681,3019997.9
3132,7284220.78,6605148.06,208,96,12085.75,festival,wednesday,4.47,302,6541752.1
9397,8980362.68,8680665.36,160,888,11149.02,summer,sunday,4.09,398,7766034.38
9577,8881026.46,9229190.66,90,110,11340.13,monsoon,thursday,3.29,334,7991223.7
6021,7818566.66,7444524.3,43,746,12807.53,festival,thursday,3.2,398,6630381.9
7723,6452533.61,5809194.45,233,44,11253.88,festival,saturday,4.47,247,5886160.02
2991,923827.05,884684.11,430,3,5859.54,festival,wednesday,3.25,385,1570503.21
2801,1691740.56,1553062.1,398,103,3614.21,summer,wednesday,3.03,372,2077289.09
4496,8994672.01,8489914.95,51,749,13500.73,festival,tuesday,4.32,113,7634755.04
3194,6099711.98,5896213.39,246,473,7940.35,winter,wednesday,2.66,544,5523110.86
9770,181142.78,167667.84,221,802,5263.79,festival,wednesday,3.03,688,380385.73
5014,1095582.99,1140800.93,209,233,5542.93,festival,friday,4.62,651,1363954.87
7223,6665302.53,6339929.43,337,370,8686.68,summer,wednesday,3.86,525,6169895.42
5871,140160.3,144676.12,97,315,4879.35,festival,friday,3.86,342,321881.25
5727,1683607.79,1716954.29,418,180,3141.78,monsoon,friday,4.65,312,2154197.27
5281,5527951.85,5968027.11,311,534,7416.08,summer,wednesday,4.53,224,5338922.85
3218,6946681.41,6374182.02,292,56,8923.87,winter,saturday,4.46,131,6377187.43
9294,6550936.08,6177019.28,105,859,8288.0,summer,monday,3.39,271,5548040.63
8893,2312508.86,2481404.53,144,98,4452.43,monsoon,wednesday,3.0,666,2329687.68
7538,7147696.08,7608195.63,453,469,11942.61,festival,friday,3.87,691,7009030.68
1336,2441138.46,2290815.87,21,99,4219.19,summer,wednesday,3.89,452,2172758.76
1352,3314711.01,3054662.66,121,391,8090.78,festival,saturday,2.62,413,2977451.55
7933,7487729.82,8021217.79,144,325,8975.6,monsoon,tuesday,3.55,438,6848750.74
4502,6527862.03,6107647.96,374,551,8890.14,monsoon,saturday,3.84,397,6028470.6
8171,8505804.0,9137121.28,438,577,10671.84,summer,saturday,3.72,572,8137706.18
8274,6606943.76,7216255.54,401,75,11940.32,festival,wednesday,4.96,223,6656000.53
6313,5721938.26,5402432.82,141,284,7882.83,monsoon,friday,3.03,359,5072938.34
6002,1018316.95,1087641.44,421,842,5682.18,festival,thursday,2.89,111,1408299.45
3786,3734063.61,3677179.7,55,757,5647.3,monsoon,saturday,4.71,401,3191198.4
5984,2718155.46,2875144.39,198,819,7225.25,festival,thursday,4.84,175,2614007.57
8010,2507937.37,2461488.13,377,274,3973.24,monsoon,tuesday,4.65,341,2753710.59
4710,9732534.6,8896306.66,217,760,11519.33,monsoon,thursday,4.75,351,8387075.98
9486,3985598.45,4155142.04,49,364,8937.37,festival,wednesday,3.75,678,3611982.31
3386,8930181.36,8306298.6,299,374,10669.18,summer,friday,4.72,589,7994227.03
8166,6344583.78,6886443.07,381,450,8210.08,monsoon,wednesday,3.74,350,6189905.2
4389,7966580.02,7835523.86,292,816,9558.46,summer,thursday,3.47,131,7138253.07
9787,5071133.59,4647186.97,419,621,6888.38,summer,saturday,2.95,521,4787805.27
5685,5807117.5,5491767.81,404,340,10394.82,festival,friday,4.41,627,5589567.27
9674,4970850.35,5331254.52,10,665,9896.92,festival,sunday,3.98,302,4376897.85
5807,2024858.01,1952402.71,158,986,3724.21,monsoon,sunday,3.41,659,1764655.87
3592,7249500.46,7766140.45,297,58,8982.28,winter,monday,2.57,600,6931301.59
3483,2872454.11,2684185.85,212,860,4990.98,winter,wednesday,4.18,91,2603570.22
2864,330971.23,328867.45,224,13,5566.02,festival,monday,4.25,493,781284.71
1402,6486630.45,6977356.36,197,704,8477.19,summer,sunday,2.69,226,5926111.51
9289,1845166.83,1678513.15,77,945,4190.35,summer,tuesday,3.93,433,1491850.95
4546,9409944.57,9041596.4,139,722,14204.59,festival,saturday,3.46,343,8162117.28
5993,9543432.2,10325710.37,349,547,14248.27,festival,friday,4.14,552,9002524.87
5812,9156306.11,9333071.03,485,901,10829.54,summer,friday,3.38,666,8523132.77
7792,3758272.72,3920804.58,319,377,5337.13,summer,wednesday,4.32,595,3775148.32
1440,243175.07,259814.49,402,755,2440.02,summer,saturday,2.83,284,681390.94
5960,9289636.96,9333477.41,206,332,11691.27,winter,tuesday,3.17,397,8357512.6
9414,4333304.91,4632620.06,147,914,6057.6,summer,monday,4.14,608,3893067.72
4269,9669549.26,9937907.43,82,248,14242.54,festival,thursday,4.53,82,8652462.42
9904,9639473.97,9997388.51,12,298,11673.51,winter,thursday,4.42,248,8493029.89
9475,8543323.7,7950168.35,296,195,10661.39,monsoon,sunday,3.62,307,7701699.39
9037,3007988.52,3272101.24,108,945,8224.9,festival,tuesday,3.26,458,2703097.56
3023,3906318.49,4137638.44,397,87,5571.49,monsoon,friday,3.55,193,4113739.05
1644,8524764.41,8105680.17,144,100,13311.4,festival,tuesday,3.61,254,7578195.48
4984,3230697.07,3282384.78,281,872,7751.53,festival,saturday,2.79,592,3093571.77
5293,1769673.12,1725950.13,25,287,3751.9,monsoon,wednesday,3.02,435,1559183.76
9122,5607900.51,5787804.2,357,179,7823.61,summer,wednesday,3.04,515,5480640.69
8608,9367293.81,10292308.16,112,789,11037.95,summer,saturday,3.18,224,8400173.29
3543,6987655.29,6352821.77,379,351,9114.93,winter,sunday,3.75,264,6423980.89
1406,5739306.2,6258740.54,278,720,7913.74,winter,tuesday,3.11,501,5416146.67
6558,1053019.05,962963.04,245,677,2757.27,summer,friday,4.71,138,1168008.44
1396,6184721.62,6136189.66,198,441,8420.38,winter,sunday,4.79,86,5629259.49
1709,9901433.65,9866004.74,221,589,14425.14,festival,monday,4.97,527,8876167.03
8465,1478232.59,1409856.78,182,244,2962.81,summer,sunday,2.91,13,1538427.11
7258,5226646.85,5296369.57,257,844,7166.81,summer,tuesday,4.31,9,4789568.79
7287,8784767.14,9371526.59,205,726,13986.19,festival,monday,4.7,153,8036572.75
2681,7431017.0,7124802.89,161,84,12579.31,festival,tuesday,2.66,615,6682689.87
8144,6997425.99,6396214.06,233,154,9250.86,monsoon,sunday,4.55,285,6300511.41
9231,7051617.27,7238180.08,95,773,9016.71,monsoon,monday,3.97,528,6175094.17
3400,3652557.31,3836460.01,197,523,5798.5,monsoon,monday,3.26,626,3450622.02
1767,2999495.18,3272163.1,135,816,8045.21,festival,saturday,3.96,50,2788949.43
9290,8110769.05,7558465.66,197,585,9887.26,summer,wednesday,3.84,462,7073571.58
6051,8118223.74,8769889.58,270,978,10178.62,winter,saturday,4.4,595,7448269.23
5863,8682686.68,8651643.43,130,701,13390.64,festival,thursday,3.0,19,7616530.3
5662,9140213.88,8657168.63,363,523,11124.78,monsoon,friday,3.03,53,8239339.92
5761,5157403.17,5634719.26,369,612,10482.44,festival,friday,2.71,377,5108324.12
8828,5060026.48,4795315.52,169,360,6788.66,monsoon,saturday,3.96,579,4548139.12
6628,8001105.22,8374667.52,258,308,10122.62,winter,monday,4.31,122,7445647.43
1335,6531142.55,6903269.78,97,266,11852.98,festival,saturday,3.74,47,5981404.04
9894,7046491.75,6948572.37,366,203,9133.12,monsoon,friday,3.87,203,6662638.97
7425,7976305.35,8279380.78,145,688,10245.33,summer,saturday,3.25,193,7100562.13
3669,8909952.94,9039106.41,440,251,14159.2,festival,sunday,3.63,213,8481894.04
4941,3439532.0,3227679.36,219,303,8508.37,festival,saturday,4.66,267,3318471.96
9846,3812027.06,4010166.99,245,113,5824.82,monsoon,tuesday,4.65,319,3813637.28
9525,1021361.02,1108792.82,82,764,2812.77,monsoon,saturday,4.57,634,921777.96
1640,5820756.2,5807529.18,395,837,7868.87,summer,saturday,2.81,682,5459307.71
5648,446187.93,490298.98,330,857,4914.27,festival,saturday,4.93,337,802707.11
4977,4704076.36,4636305.03,126,907,6725.25,monsoon,thursday,2.71,196,4050112.26
2803,5467608.33,5445449.84,208,642,10457.49,festival,tuesday,4.92,373,5015481.88
7576,2929623.81,3031514.67,435,344,4922.73,winter,sunday,4.22,14,3228288.45
6809,5945157.61,5571528.41,285,232,7635.35,monsoon,friday,4.75,433,5508725.46
5189,392257.48,423790.75,261,186,2347.21,summer,wednesday,4.3,76,799786.99
6309,460120.55,487844.91,148,947,2398.49,winter,saturday,4.46,322,462497.13
8658,8241971.56,8855862.1,221,259,13061.93,festival,friday,4.78,278,7735171.94
7303,3659489.26,3739674.95,374,662,5652.13,winter,thursday,4.8,425,3677803.53
9634,1349169.68,1452717.9,267,183,5967.4,festival,wednesday,3.15,229,1675969.69
4886,5265430.71,5454957.24,106,704,10379.87,festival,tuesday,5.0,280,4735972.11
9177,7720636.11,7738487.61,351,323,9782.62,monsoon,saturday,3.95,579,7223235.44
7694,2228786.38,2421260.27,357,464,4458.67,summer,friday,4.78,552,2510990.64
8612,6262844.62,6187339.48,168,8,11340.11,festival,monday,3.28,386,5786068.04
7213,935793.38,935900.03,236,657,2984.02,summer,friday,3.43,428,1065716.67
4507,602165.86,562367.96,275,912,3004.34,summer,saturday,3.12,14,746266.71
9526,5355724.4,5835232.06,351,336,7421.09,winter,friday,4.72,478,5327634.39
3712,5447694.06,5143770.27,474,658,7858.32,monsoon,saturday,4.19,179,5254637.61
3958,6406930.32,6024328.85,68,103,8522.51,monsoon,friday,2.63,162,5582647.98
8615,7285565.12,6704460.58,372,916,12431.06,festival,friday,3.29,42,6553864.89
7503,9760694.11,9669645.28,239,481,12149.01,summer,friday,2.76,257,8720910.49
4492,5206536.45,4970799.63,123,478,10579.39,festival,thursday,3.5,625,4624625.79
4361,3290498.65,3448956.56,144,347,5299.96,summer,thursday,4.66,284,3129060.63
9338,7970295.19,7663473.29,302,725,9706.32,monsoon,tuesday,3.55,53,7134799.14
2333,2773947.61,2896428.64,278,119,4344.69,monsoon,friday,2.61,262,2893270.13
8296,4440206.78,4170207.65,486,751,6596.91,summer,saturday,3.31,553,4362029.67
7846,867502.74,820651.67,383,243,2804.26,summer,wednesday,4.29,499,1352785.91
5026,341225.87,362120.78,419,611,2212.2,monsoon,wednesday,3.7,564,848693.46
7994,9629845.79,9381575.95,12,97,11770.25,summer,friday,4.36,551,8363541.72
6734,8374562.99,7724318.33,304,505,10555.97,winter,wednesday,4.36,649,7473344.69
1399,6987104.38,7631879.69,403,756,11556.32,festival,tuesday,4.52,568,6773916.12
3270,4142723.68,3875428.65,430,714,5820.09,monsoon,sunday,4.5,432,4049227.97
7440,1807346.71,1680903.69,288,710,4070.13,winter,thursday,4.18,276,1861963.75
1396,1640291.09,1593832.16,29,892,3164.49,winter,saturday,3.96,444,1282877.1
7400,2569907.12,2362070.39,299,442,4890.75,summer,saturday,2.72,622,2565731.28
7675,5532836.25,5151752.61,269,181,7414.83,summer,sunday,2.98,686,5108608.17
